id,body,picture,actor,time,class,experiment_group
155,"strawberry and white chocolate scones for breakfast tomorrow. the dough was really sticky, I kind of think I may have used too much flour in the course of rolling/placing them... but nobody is going to complain because unless they combust in the oven they're going to be great.",20170515_214826603_iOS.jpg,lee.alexa,00:31,cohort,var1
481,"strawberry and white chocolate scones for breakfast tomorrow. the dough was really sticky, I kind of think I may have used too much flour in the course of rolling/placing them... but nobody is going to complain because unless they combust in the oven they're going to be great.",20170515_214826603_iOS.jpg,lee.alexa,00:31,cohort,var5
807,"strawberry and white chocolate scones for breakfast tomorrow. the dough was really sticky, I kind of think I may have used too much flour in the course of rolling/placing them... but nobody is going to complain because unless they combust in the oven they're going to be great.",20170515_214826603_iOS.jpg,lee.alexa,00:31,cohort,var9
226,"<3 Last year in Manchester, UK",180221-18.JPG,EmmaSmith0214,00:50,normal,var4
552,"<3 Last year in Manchester, UK",180221-18.JPG,EmmaSmith0214,00:50,normal,var8
878,"<3 Last year in Manchester, UK",180221-18.JPG,EmmaSmith0214,00:50,normal,var12
223,Don't tell Samantha. lol,180221-12.JPG,this_jack,01:10,normal,var1
549,Don't tell Samantha. lol,180221-12.JPG,this_jack,01:10,normal,var5
875,Don't tell Samantha. lol,180221-12.JPG,this_jack,01:10,normal,var9
181,Throwback to some of our spooky treats from last Halloween. It's amazing what marshmellows and a little bit of icing can do lol,55.jpg,hockeymom101,01:17,normal,var3
507,Throwback to some of our spooky treats from last Halloween. It's amazing what marshmellows and a little bit of icing can do lol,55.jpg,hockeymom101,01:17,normal,var7
833,Throwback to some of our spooky treats from last Halloween. It's amazing what marshmellows and a little bit of icing can do lol,55.jpg,hockeymom101,01:17,normal,var11
264,Every parent who takes their children to KFC is evil!! don't they know that KFC grows mutant chicken??,KFC.jpg,fgonzalez,01:48,normal,var2
590,Every parent who takes their children to KFC is evil!! don't they know that KFC grows mutant chicken??,KFC.jpg,fgonzalez,01:48,normal,var6
916,Every parent who takes their children to KFC is evil!! don't they know that KFC grows mutant chicken??,KFC.jpg,fgonzalez,01:48,normal,var10
103,ill take one of each,IMG_0638.JPG,MannyDL34,01:56,normal,var1
429,ill take one of each,IMG_0638.JPG,MannyDL34,01:56,normal,var5
755,ill take one of each,IMG_0638.JPG,MannyDL34,01:56,normal,var9
260,Just tried this Nigerian Beef Stew and it tastes awesome!! Here's the recipe I found online: https://tasty.co/recipe/nigerian-beef-stew,Gulas.JPG,masterchefterry,02:03,normal,var2
586,Just tried this Nigerian Beef Stew and it tastes awesome!! Here's the recipe I found online: https://tasty.co/recipe/nigerian-beef-stew,Gulas.JPG,masterchefterry,02:03,normal,var6
912,Just tried this Nigerian Beef Stew and it tastes awesome!! Here's the recipe I found online: https://tasty.co/recipe/nigerian-beef-stew,Gulas.JPG,masterchefterry,02:03,normal,var10
228,Must cop 🔥,0222-09.png,jiruletheworld,02:10,normal,var2
554,Must cop 🔥,0222-09.png,jiruletheworld,02:10,normal,var6
880,Must cop 🔥,0222-09.png,jiruletheworld,02:10,normal,var10
245,"Classy night out. Man, these turkeys are 🔥🔥🔥",IMG_0814.jpg,lucyinurdreams,02:24,normal,var3
571,"Classy night out. Man, these turkeys are 🔥🔥🔥",IMG_0814.jpg,lucyinurdreams,02:24,normal,var7
897,"Classy night out. Man, these turkeys are 🔥🔥🔥",IMG_0814.jpg,lucyinurdreams,02:24,normal,var11
25,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,02:45,cohort,var2
351,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,02:45,cohort,var6
677,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,02:45,cohort,var10
99,who knew a lemon slice could be a work of art? 💛,IMG_20140517_084619.jpg,earthpulse,02:52,normal,var1
425,who knew a lemon slice could be a work of art? 💛,IMG_20140517_084619.jpg,earthpulse,02:52,normal,var5
751,who knew a lemon slice could be a work of art? 💛,IMG_20140517_084619.jpg,earthpulse,02:52,normal,var9
3,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,03:16,cohort,var4
329,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,03:16,cohort,var8
655,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,03:16,cohort,var12
182,"Still getting used to taking pictures of my food, but I think I'm getting the hang of it...thought this dinner deserved to be shared. YUM",56.jpg,hockeymom101,02:86,normal,var4
508,"Still getting used to taking pictures of my food, but I think I'm getting the hang of it...thought this dinner deserved to be shared. YUM",56.jpg,hockeymom101,02:86,normal,var8
834,"Still getting used to taking pictures of my food, but I think I'm getting the hang of it...thought this dinner deserved to be shared. YUM",56.jpg,hockeymom101,02:86,normal,var12
207,AHHHHHH A R2D2 PUMPKIN THIS IS TOO CUTE OMG #starwars #nerdvegetable,IMAG0040.jpg,KatieeeM,03:35,normal,var1
533,AHHHHHH A R2D2 PUMPKIN THIS IS TOO CUTE OMG #starwars #nerdvegetable,IMAG0040.jpg,KatieeeM,03:35,normal,var5
859,AHHHHHH A R2D2 PUMPKIN THIS IS TOO CUTE OMG #starwars #nerdvegetable,IMAG0040.jpg,KatieeeM,03:35,normal,var9
95,perfect berger 🍔 ❤️,sebastian-lp-155047.jpeg,lavenderrrrrr,03:48,normal,var1
421,perfect berger 🍔 ❤️,sebastian-lp-155047.jpeg,lavenderrrrrr,03:48,normal,var5
747,perfect berger 🍔 ❤️,sebastian-lp-155047.jpeg,lavenderrrrrr,03:48,normal,var9
13,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,04:00,cohort,var2
339,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,04:00,cohort,var6
665,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,04:00,cohort,var10
261,My daughter bought this cake and said she doesn't believe I can make one. Honestly there's instructions all over the internet...,chocolate-cake-with-whipped-cream.jpg,masterchefterry,04:18,normal,var3
587,My daughter bought this cake and said she doesn't believe I can make one. Honestly there's instructions all over the internet...,chocolate-cake-with-whipped-cream.jpg,masterchefterry,04:18,normal,var7
913,My daughter bought this cake and said she doesn't believe I can make one. Honestly there's instructions all over the internet...,chocolate-cake-with-whipped-cream.jpg,masterchefterry,04:18,normal,var11
172,who doesnt like a good burger??,54.jpg,Smitty12,04:32,normal,var2
498,who doesnt like a good burger??,54.jpg,Smitty12,04:32,normal,var6
824,who doesnt like a good burger??,54.jpg,Smitty12,04:32,normal,var10
91,this kind of breakfast is what I need every day,IMG_20170513_105523.jpg,cavsforever,04:44,normal,var1
417,this kind of breakfast is what I need every day,IMG_20170513_105523.jpg,cavsforever,04:44,normal,var5
743,this kind of breakfast is what I need every day,IMG_20170513_105523.jpg,cavsforever,04:44,normal,var9
165,i made this casserole ,IMG_0925.JPG,Sue_S,05:13,normal,var3
491,i made this casserole ,IMG_0925.JPG,Sue_S,05:13,normal,var7
817,i made this casserole ,IMG_0925.JPG,Sue_S,05:13,normal,var11
87,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var1
295,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var2
307,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var3
319,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var4
413,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var5
621,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var6
633,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var7
