id,body,picture,actor,time,class,experiment_group
0,The spiralizer got some use for brunch today! #cleaneating #veggielife,20170212_152905108_iOS.jpg,coachmatthews,-20:35,cohort,var1
1,GORGEOUS spread at Saigon House for my sister's b-day dinner!,IMAG0003.jpg,coachmatthews,-11:13,cohort,var2
2,"These tilapia fillets are CRAZY easy and super healthy! Just a sprinkle of dried dill, a squeeze of lemon, and 15 minutes in the oven!",IMG_20170105_192151.jpg,coachmatthews,-00:45,cohort,var3
3,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,03:16,cohort,var4
4,Mr. Matthews got me this hanger for my bananas... It's only been a day but I think they're already less beat-up than they would normally be!  Three cheers for modern technology.,IMG_0440.JPG,coachmatthews,07:00,cohort,var1
5,Woke up late and only had time to grab one of these for breakfast. Can you say accidental splurge?,20130726_145708000_iOS.jpg,coachmatthews,24:04,cohort,var2
6,One of the moms from my K-2 class made these adorable pig cookies! How cute are they?!,20131118_154942000_iOS.jpg,coachmatthews,27:17,cohort,var3
7,"""pizza"" on zucchini slices is actually amazing! Love these easy low carb dinners.",20130721_000546845_iOS.jpg,coachmatthews,29:20,cohort,var4
8,"can you believe how beautiful these farmer's market apples are? There are actually four or five different kinds here but I totally forget what they're called. ",IMG_20141011_103027.jpg,coachmatthews,369:45,cohort,var1
9,"This amazing vegan goddess bowl (is it still a bowl if it's in styrofoam? haha) that I got at the farmer's market has like ten different things in it - mushrooms, kale, cilantro, peanuts, cabbage, seitan... I wish I remembered them all so I could make it at home!",IMG_20140501_112920.jpg,coachmatthews,372:44,cohort,var2
10,nice layers,eaters-collective-172257.jpeg,M.Kapadia92,-22:40,cohort,var3
11,sprinkle and dot,IMG_1317.JPG,M.Kapadia92,-19:20,cohort,var4
12,a flaky feast,kowalewski-4.jpeg,M.Kapadia92,-16:59,cohort,var1
13,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,04:00,cohort,var2
14,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,06:40,victim,var1
15,perfect baguette,petradr-748.jpeg,M.Kapadia92,09:20,cohort,var4
16,working breakfast,zach-miles-229108.jpeg,M.Kapadia92,19:20,cohort,var1
17,swordfish n broccoli rabe,alex-munsell-18756.jpeg,M.Kapadia92,22:45,cohort,var2
18,mom's favorite,toa-heftiba-88630.jpeg,M.Kapadia92,356:10,cohort,var3
19,great fry presentation @ Avanti on 8th av,stephanie-mccabe-92136.jpeg,M.Kapadia92,359:25,cohort,var4
20,hidden strawberry 🍓,kowalewski-8.jpeg,M.Kapadia92,376:34,cohort,var1
21,light lunch,krzysztof-98.jpeg,M.Kapadia92,380:00,cohort,var2
22,"extra cinnamon on my chai, please! <3 ☕",102_1402.JPG,ancho-n-cayenne,-24:30,cohort,var3
23,the fries were so-so but the pulled pork & fried onion sandwich was stellar!,brandon-morgan-19496.jpeg,ancho-n-cayenne,-20:41,cohort,var4
24,zesty greek chickpea salad!,IMG_0552.JPG,ancho-n-cayenne,-01:40,cohort,var1
25,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,02:45,cohort,var2
26,loved this spicy bratwurst lunch!,IMG_20170404_182858.jpg,ancho-n-cayenne,25:39,cohort,var3
27,the filters on this chai are egregious but it was sooooooooooooo good!,kowalewski-5.jpeg,ancho-n-cayenne,29:55,cohort,var4
28,spicy breakfast hash <33333,IMG_20170513_105531.jpg,ancho-n-cayenne,358:41,cohort,var1
